Client_ID,Client_Name,Bank_Name,Account_Type,Currency,Transaction_Amount,Interest_Rate,Maturity_Date,Email,Phone,Loan_Status,Remarks
,,WELLS FARGO,Savings,,$108767,12.11,,wrongmail,01712-345678,Rejected, follow up 
,john capital,,Savings,EUR,$234554,11.51,2026.05.21,,,Rejected, HIGH RISK 
,MARY INVEST,,CURRENT,,$121233,,13-05-2025,client@mail.com,01712345678,approved, good payer 
,beta funds,HSBC,loan,GBP,$77419,,06/30/2024,wrongmail,01712345678,,
,beta funds,CHASE,CURRENT,GBP,$329650,10.9,2024.04.05,wrongmail,01712-345678, PENDING ,
,MARY INVEST,,CURRENT,USD,357633,10.37,22-09-2024, CLIENT@BANK.COM ,1712345678,Rejected, follow up 
47244,MARY INVEST,HSBC,Savings,USD,68273,,08/07/2024,wrongmail,01712-345678,approved,
,MARY INVEST,WELLS FARGO,Savings,USD,341200,12.43,,client@mail.com,01712-345678,,
33184,john capital,HSBC,CURRENT,USD,,1.99,, CLIENT@BANK.COM ,1712345678,, HIGH RISK 
,MARY INVEST,CITI,Savings,EUR,,2.45,28-04-2026,,01712345678, PENDING ,
33207,  alpha holdings ,CITI,CURRENT,,$274980,,2024.05.26,,1712345678, PENDING ,
26546,beta funds,BOFA,CURRENT,BDT,,,2025.01.06,client@mail.com,01712-345678,, good payer 
,MARY INVEST,CITI,CURRENT,USD,,,17-02-2025,wrongmail,1712345678,Rejected,
,  alpha holdings ,BOFA,Savings,,$204524,9.81,2024.04.26,wrongmail,1712345678,, HIGH RISK 
65071,  alpha holdings ,BOFA,CURRENT,BDT,$5403,,21-04-2024,,01712345678,,
24154,MARY INVEST,, investment ,EUR,$314894,7.81,,,01712345678,approved, follow up 
96702,  alpha holdings ,WELLS FARGO,loan,GBP,,,07/01/2024,client@mail.com,1712345678, PENDING , HIGH RISK 
,,CHASE, investment ,BDT,$356997,3.06,21-01-2025,wrongmail,01712-345678, PENDING , good payer 
56058,john capital,CITI, investment ,GBP,,,,wrongmail,,Rejected, HIGH RISK 
,MARY INVEST,CITI,CURRENT,BDT,,,07/14/2025,,1712345678,approved, good payer 
21028,MARY INVEST,BOFA,CURRENT,BDT,,4.99,10-10-2025,wrongmail,,,
40417,,BOFA,CURRENT,USD,,,,,01712-345678,Rejected, good payer 
29796,  alpha holdings ,,Savings,USD,$149536,11.8,2025.02.06, CLIENT@BANK.COM ,01712-345678,approved, follow up 
,beta funds,CHASE,loan,EUR,,4.58,01/16/2026,,1712345678,Rejected, HIGH RISK 
,,HSBC,Savings,USD,,8.93,03/03/2024,wrongmail,1712345678,, good payer 
23512,MARY INVEST,,CURRENT,USD,36630,,, CLIENT@BANK.COM ,1712345678,approved, follow up 
,beta funds,CITI, investment ,GBP,16698,2.22,02/17/2026, CLIENT@BANK.COM ,01712-345678,,
25575,john capital,,loan,GBP,193856,7.79,,client@mail.com,1712345678,, follow up 
23715,,BOFA, investment ,GBP,$161444,,17-03-2026, CLIENT@BANK.COM ,1712345678,approved, follow up 
,MARY INVEST,BOFA, investment ,EUR,482535,,06/06/2025,,, PENDING , HIGH RISK 
,MARY INVEST,CHASE,Savings,USD,$167634,,07/28/2025,client@mail.com,01712-345678, PENDING ,
,,WELLS FARGO,Savings,BDT,,,,,1712345678,, follow up 
,,CITI,CURRENT,BDT,$431997,,03-10-2024,wrongmail,1712345678,approved,
,  alpha holdings ,BOFA,loan,GBP,286324,,11/13/2024,,1712345678,approved, HIGH RISK 
,,WELLS FARGO, investment ,GBP,260443,4.17,16-01-2026, CLIENT@BANK.COM ,01712345678,approved,
,,BOFA,CURRENT,,,2.86,01-08-2024, CLIENT@BANK.COM ,,, HIGH RISK 
35267,john capital,BOFA,loan,USD,$401660,6.22,06-10-2025, CLIENT@BANK.COM ,,Rejected,
51385,,CITI,loan,EUR,221688,8.1,04/21/2026,,01712345678,, good payer 
,john capital,BOFA,Savings,GBP,452900,2.08,,,01712-345678,,
,,BOFA,CURRENT,GBP,$21725,2.63,2025.01.31,,01712345678,approved, good payer 
,MARY INVEST,CITI,Savings,EUR,,2.13,03/29/2024, CLIENT@BANK.COM ,01712345678,approved, follow up 
27201,,HSBC,CURRENT,,,5.48,2026.02.19,wrongmail,1712345678,, HIGH RISK 
,john capital,,loan,GBP,$373752,,2026.02.09,,1712345678,Rejected,
99341,john capital,,Savings,,$155233,3.96,2025.04.14, CLIENT@BANK.COM ,01712-345678,approved, good payer 
41215,MARY INVEST,WELLS FARGO,CURRENT,USD,,6.7,,wrongmail,1712345678, PENDING ,
,john capital,,Savings,GBP,$117760,,08/28/2025,,01712345678,Rejected, good payer 
77366,  alpha holdings ,BOFA, investment ,EUR,$399736,4.11,03/15/2024, CLIENT@BANK.COM ,, PENDING , good payer 
31672,john capital,,CURRENT,BDT,,,06/22/2024,,01712-345678, PENDING , follow up 
69482,MARY INVEST,BOFA,loan,BDT,71462,,11-04-2025,,01712-345678,, HIGH RISK 
64149,john capital,BOFA,loan,BDT,,,,,1712345678,Rejected, follow up 
,beta funds,,loan,GBP,387017,,25-01-2024,wrongmail,,, follow up 
39575,beta funds,CHASE,CURRENT,GBP,$1643,,2025.01.13,,1712345678, PENDING , HIGH RISK 
23474,john capital,CITI,Savings,GBP,,8.14,02/27/2024, CLIENT@BANK.COM ,,approved, follow up 
29215,john capital,HSBC, investment ,USD,,,26-01-2025, CLIENT@BANK.COM ,, PENDING , follow up 
73112,  alpha holdings ,CITI,Savings,,212394,1.76,,,01712345678,approved, good payer 
20389,MARY INVEST,, investment ,EUR,$54807,4.83,09/27/2024,wrongmail,01712-345678, PENDING ,
66326,john capital,HSBC,loan,EUR,$63228,,18-03-2024,client@mail.com,,approved,
,MARY INVEST,BOFA,CURRENT,USD,439569,,09/17/2025,wrongmail,01712-345678,approved, follow up 
,john capital,CITI,loan,EUR,196193,,04-05-2025,client@mail.com,1712345678,, HIGH RISK 
46455,beta funds,CITI,Savings,,,12.17,,wrongmail,1712345678,, follow up 
,  alpha holdings ,,Savings,,,8.06,05/07/2026,,01712-345678, PENDING , HIGH RISK 
,john capital,HSBC,loan,,$417909,12.47,15-02-2024,client@mail.com,01712345678, PENDING , good payer 
,beta funds,CITI,CURRENT,EUR,$271887,9.27,2024.10.08,client@mail.com,01712345678,Rejected,
,MARY INVEST,HSBC,Savings,,$389286,9.06,,wrongmail,,, follow up 
,  alpha holdings ,BOFA,loan,BDT,3246,6.34,06/25/2024,wrongmail,01712-345678,Rejected, good payer 
,  alpha holdings ,HSBC,loan,,,2.56,,wrongmail,,approved, follow up 
,MARY INVEST,CHASE,CURRENT,,17522,,07/31/2025,client@mail.com,,,
74818,,WELLS FARGO,Savings,BDT,261259,7.83,,client@mail.com,01712-345678,Rejected, follow up 
33479,MARY INVEST,HSBC,Savings,EUR,292732,,07-08-2025,,, PENDING , follow up 
,MARY INVEST,HSBC, investment ,GBP,,,02/12/2025, CLIENT@BANK.COM ,1712345678,,
33213,  alpha holdings ,HSBC,loan,EUR,$70080,7.45,,,01712345678,approved, good payer 
,john capital,WELLS FARGO,loan,BDT,,,2026.01.01,wrongmail,01712-345678, PENDING , follow up 
93970,john capital,BOFA,CURRENT,EUR,360929,6.75,29-12-2025,wrongmail,01712345678,, follow up 
36675,MARY INVEST,BOFA,CURRENT,GBP,62986,,2025.06.02, CLIENT@BANK.COM ,01712345678,Rejected,
,  alpha holdings ,CHASE, investment ,BDT,$217694,8.19,13-04-2024,wrongmail,01712345678,Rejected,
,beta funds,HSBC,Savings,BDT,,7.02,, CLIENT@BANK.COM ,01712345678,,
,john capital,CHASE,CURRENT,USD,,,30-03-2024,client@mail.com,,, follow up 
22659,,CITI, investment ,BDT,9544,,09/14/2024,wrongmail,01712345678,, follow up 
97659,  alpha holdings ,CITI,loan,EUR,161636,4.62,04/11/2025, CLIENT@BANK.COM ,,, good payer 
,beta funds,CITI,loan,BDT,,6.86,06-11-2024,client@mail.com,01712-345678,, follow up 
54623,john capital,, investment ,EUR,$410685,4.7,2024.12.18, CLIENT@BANK.COM ,01712-345678, PENDING , good payer 
69531,,,loan,USD,$89122,11.55,11/05/2025,,, PENDING ,
16294,beta funds,CHASE,CURRENT,EUR,122792,,04-01-2025,,,Rejected,
,MARY INVEST,CHASE,loan,,$442715,2.46,04/16/2025,client@mail.com,01712-345678,, HIGH RISK 
21341,john capital,CITI, investment ,GBP,98540,,30-01-2024,client@mail.com,1712345678,approved, follow up 
,beta funds,, investment ,GBP,,5.94,2026.04.29,,, PENDING ,
,john capital,CITI,Savings,BDT,$337010,,,,,Rejected, follow up 
32437,MARY INVEST,HSBC, investment ,EUR,450560,,, CLIENT@BANK.COM ,, PENDING , HIGH RISK 
17667,,WELLS FARGO,CURRENT,,9985,10.75,03/17/2026,,1712345678,approved,
43729,beta funds,CHASE,loan,USD,,,03/12/2024,wrongmail,01712-345678,approved, good payer 
,,WELLS FARGO,Savings,GBP,76776,6.03,07/13/2024,client@mail.com,, PENDING , follow up 
22024,  alpha holdings ,CHASE,loan,GBP,,6.99,05/15/2026,wrongmail,, PENDING , follow up 
,  alpha holdings ,BOFA,Savings,,,10.22,2024.11.20,,01712345678,approved, follow up 
58079,john capital,CITI,CURRENT,BDT,$188897,5.57,2025.05.09,client@mail.com,01712-345678,approved, HIGH RISK 
,  alpha holdings ,CITI,loan,EUR,,,29-06-2024,,1712345678,, HIGH RISK 
,beta funds,CHASE,Savings,GBP,,,, CLIENT@BANK.COM ,,, good payer 
47832,beta funds,HSBC,CURRENT,EUR,,,27-02-2026,,01712345678,, follow up 
34071,john capital,BOFA, investment ,,,,06-03-2026, CLIENT@BANK.COM ,01712-345678, PENDING , follow up 
29101,john capital,WELLS FARGO,CURRENT,USD,,,03/13/2026,wrongmail,,approved, good payer 
83385,MARY INVEST,,CURRENT,BDT,,7.93,2024.05.06,wrongmail,1712345678, PENDING ,
,john capital,CITI,loan,,,,06/14/2024,client@mail.com,,, good payer 
,,,loan,BDT,,,03/14/2025,wrongmail,,Rejected, follow up 
,  alpha holdings ,HSBC,loan,,,7.37,11-05-2024,,1712345678,approved,
,MARY INVEST,WELLS FARGO,CURRENT,EUR,,,08/25/2025,wrongmail,01712345678,, follow up 
11135,MARY INVEST,WELLS FARGO, investment ,BDT,,,2024.04.16,client@mail.com,01712-345678,,
26574,MARY INVEST,CHASE,Savings,USD,461509,5.85,2025.06.17, CLIENT@BANK.COM ,01712-345678,Rejected, good payer 
,beta funds,CITI,loan,,,,05-06-2026,wrongmail,1712345678,Rejected, follow up 
49806,MARY INVEST,,CURRENT,GBP,$117471,11.01,, CLIENT@BANK.COM ,01712345678,Rejected,
98603,john capital,WELLS FARGO, investment ,EUR,433289,12.21,, CLIENT@BANK.COM ,,approved, HIGH RISK 
,,,loan,,439065,3.06,, CLIENT@BANK.COM ,1712345678, PENDING ,
,,, investment ,GBP,483609,4.64,15-06-2026,client@mail.com,01712-345678,approved, HIGH RISK 
,MARY INVEST,BOFA,loan,GBP,,1.96,,,01712345678, PENDING , good payer 
,john capital,HSBC,Savings,EUR,,6.95,04/06/2026,,,Rejected, good payer 
43957,,WELLS FARGO,Savings,USD,457010,,10/12/2025, CLIENT@BANK.COM ,01712-345678, PENDING , follow up 
,MARY INVEST,CITI,CURRENT,,401141,5.46,06/09/2024,wrongmail,1712345678,,
,  alpha holdings ,HSBC, investment ,USD,75137,12.24,,wrongmail,01712-345678,approved, good payer 
80198,john capital,WELLS FARGO,CURRENT,,$272906,8.4,,wrongmail,1712345678,approved, good payer 
39370,,HSBC,loan,,$315582,4.25,28-10-2025,,01712345678,,
,john capital,CHASE,loan,,223264,,13-01-2024, CLIENT@BANK.COM ,01712345678, PENDING , HIGH RISK 
48157,  alpha holdings ,BOFA, investment ,BDT,,,,,01712345678,, HIGH RISK 
52145,,CITI,loan,USD,$137715,,17-10-2024,client@mail.com,,approved, good payer 
,  alpha holdings ,CHASE,loan,EUR,262238,,,wrongmail,01712-345678,Rejected, good payer 
87859,MARY INVEST,BOFA,Savings,USD,,4.91,2025.08.11,,1712345678, PENDING ,
,john capital,HSBC, investment ,BDT,,,26-05-2025,wrongmail,01712345678,Rejected, good payer 
,beta funds,CITI,Savings,,243846,,2026.05.17, CLIENT@BANK.COM ,01712-345678, PENDING , good payer 
12872,,HSBC,loan,BDT,,,10/08/2024,wrongmail,1712345678,, HIGH RISK 
31003,john capital,BOFA,CURRENT,EUR,,,19-02-2025,client@mail.com,01712-345678, PENDING , good payer 
88904,john capital,HSBC,CURRENT,USD,$210709,6.02,,wrongmail,1712345678,approved, HIGH RISK 
,beta funds,CHASE,Savings,GBP,371922,,28-07-2025, CLIENT@BANK.COM ,1712345678,approved,
51977,MARY INVEST,,loan,,,,14-05-2025,,1712345678, PENDING , good payer 
53237,beta funds,WELLS FARGO,Savings,BDT,$418629,,,wrongmail,, PENDING , good payer 
,beta funds,WELLS FARGO,Savings,EUR,$154769,8.53,03/20/2025,wrongmail,01712345678, PENDING , follow up 
88648,beta funds,CHASE, investment ,BDT,259078,3.96,,,01712-345678,Rejected, HIGH RISK 
49993,  alpha holdings ,BOFA,CURRENT,USD,,2.06,2024.01.01,,, PENDING , follow up 
,,BOFA,CURRENT,EUR,$464899,9.33,,wrongmail,01712345678, PENDING , follow up 
56567,,BOFA,Savings,USD,$411766,,2026.03.03,client@mail.com,,, follow up 
20989,beta funds,HSBC,CURRENT,BDT,,10.61,2024.11.02,,, PENDING ,
56717,,, investment ,,133866,,2026.01.29,wrongmail,01712345678,approved, follow up 
77654,MARY INVEST,HSBC,CURRENT,USD,$422915,,09/23/2025,wrongmail,01712345678, PENDING ,
31123,  alpha holdings ,WELLS FARGO,CURRENT,GBP,7391,,,wrongmail,1712345678,, HIGH RISK 
,beta funds,BOFA,loan,,,8.92,08/21/2025,,,Rejected, follow up 
,MARY INVEST,CITI,CURRENT,USD,$232269,,,client@mail.com,01712345678,approved, good payer 
43521,MARY INVEST,HSBC, investment ,,344969,,2025.10.08, CLIENT@BANK.COM ,01712-345678,, HIGH RISK 
58684,beta funds,HSBC,CURRENT,GBP,$184052,,01/08/2024, CLIENT@BANK.COM ,01712345678,approved, follow up 
,  alpha holdings ,, investment ,,$325478,5.71,10/11/2024, CLIENT@BANK.COM ,01712-345678,Rejected, follow up 
,  alpha holdings ,CITI,CURRENT,EUR,,,, CLIENT@BANK.COM ,01712-345678,Rejected,
,,WELLS FARGO,loan,EUR,,,11/24/2025,,1712345678,Rejected,
61725,,CHASE, investment ,EUR,$495338,,2025.08.01,,01712345678,approved, HIGH RISK 
94217,,CITI,CURRENT,EUR,461481,,15-02-2025,,01712-345678,, follow up 
78046,john capital,,CURRENT,EUR,260692,2.37,17-05-2026, CLIENT@BANK.COM ,,, good payer 
37190,MARY INVEST,BOFA,CURRENT,USD,336586,7.12,20-08-2025,wrongmail,01712-345678,approved,
48102,MARY INVEST,CITI,Savings,EUR,,,,,01712345678,approved,
80920,,BOFA,CURRENT,BDT,,,2026.03.16,wrongmail,1712345678,Rejected, good payer 
33945,  alpha holdings ,CHASE,loan,BDT,$498646,,,client@mail.com,01712-345678,Rejected,
14805,beta funds,HSBC,loan,,95133,2.73,19-01-2026,,01712-345678, PENDING ,
,  alpha holdings ,BOFA,CURRENT,BDT,,10.63,01/03/2026,wrongmail,1712345678,Rejected,
48918,beta funds,BOFA,CURRENT,EUR,458523,3.57,15-06-2024,client@mail.com,,Rejected,
34144,MARY INVEST,CITI,CURRENT,GBP,$442202,,,wrongmail,01712-345678, PENDING ,
98903,,HSBC,Savings,GBP,464356,,,wrongmail,1712345678,Rejected, HIGH RISK 
,,HSBC,Savings,GBP,$244776,1.94,03/06/2024, CLIENT@BANK.COM ,1712345678,approved,
68295,john capital,CHASE,loan,EUR,25631,3.62,10-11-2025,client@mail.com,1712345678,, HIGH RISK 
,  alpha holdings ,CHASE,CURRENT,,$379922,5.4,2024.07.11,wrongmail,01712345678,,
64334,  alpha holdings ,WELLS FARGO,loan,USD,$61374,,,wrongmail,01712-345678,Rejected, HIGH RISK 
,,CHASE, investment ,,396392,,07/10/2024,client@mail.com,01712345678,approved, good payer 
55683,MARY INVEST,CITI, investment ,EUR,217124,,06/07/2026,,,approved, good payer 
15754,MARY INVEST,CHASE,loan,GBP,$437535,11.57,, CLIENT@BANK.COM ,,Rejected, HIGH RISK 
35125,MARY INVEST,CHASE,loan,,,11.66,,wrongmail,01712345678,approved,
,john capital,WELLS FARGO,Savings,GBP,,,01/09/2026,wrongmail,01712-345678,approved, HIGH RISK 
,john capital,BOFA,CURRENT,BDT,447185,4.87,,wrongmail,1712345678, PENDING , HIGH RISK 
,MARY INVEST,, investment ,EUR,,8.45,05/11/2025,wrongmail,1712345678,Rejected, good payer 
43510,john capital,CHASE,loan,,$110973,,, CLIENT@BANK.COM ,,approved,
,beta funds,,CURRENT,,$476864,,24-11-2025, CLIENT@BANK.COM ,01712345678, PENDING ,
60331,MARY INVEST,CITI,loan,EUR,,,2024.10.01, CLIENT@BANK.COM ,,, good payer 
41973,MARY INVEST,,loan,EUR,$359455,6.25,,,01712345678,approved,
,  alpha holdings ,HSBC,CURRENT,EUR,$278826,,,client@mail.com,,Rejected, follow up 
83424,MARY INVEST,HSBC,loan,BDT,$451057,,2025.10.06,client@mail.com,1712345678, PENDING , HIGH RISK 
,MARY INVEST,CITI,CURRENT,,255650,1.54,2024.12.28,,01712345678, PENDING , follow up 
51238,john capital,BOFA,CURRENT,USD,351545,,2026.01.15, CLIENT@BANK.COM ,,approved, follow up 
23528,  alpha holdings ,,loan,GBP,$266340,,2026.06.14,client@mail.com,01712345678,approved, HIGH RISK 
75102,beta funds,,loan,BDT,$60066,10.85,2025.11.30,,01712345678,, follow up 
57420,,HSBC,CURRENT,EUR,$391880,5.64,12/14/2024,wrongmail,01712-345678, PENDING ,
88752,  alpha holdings ,HSBC,CURRENT,BDT,,,,client@mail.com,,, follow up 
,MARY INVEST,CITI, investment ,,,,2024.03.26, CLIENT@BANK.COM ,1712345678,approved,
77835,MARY INVEST,HSBC,Savings,BDT,,4.3,, CLIENT@BANK.COM ,01712345678,Rejected, follow up 
,john capital,WELLS FARGO,Savings,EUR,,12.34,16-04-2024,,1712345678,Rejected, follow up 
93669,  alpha holdings ,CHASE, investment ,,$398240,12.41,12/31/2024,client@mail.com,01712-345678,, good payer 
,MARY INVEST,CHASE,CURRENT,GBP,$51147,,07-12-2025,,,,
21016,  alpha holdings ,BOFA, investment ,EUR,40817,,12/15/2025,wrongmail,01712-345678, PENDING , good payer 
33689,  alpha holdings ,CITI,Savings,BDT,9290,,, CLIENT@BANK.COM ,01712345678,, good payer 
,  alpha holdings ,HSBC,Savings,EUR,379215,7.08,2026.06.19,client@mail.com,1712345678,, follow up 
,beta funds,BOFA,Savings,USD,$51792,10,,,,, follow up 
,john capital,HSBC,CURRENT,EUR,207722,,10/21/2025,client@mail.com,1712345678,approved, follow up 
,beta funds,CITI,CURRENT,,336106,,06/10/2024,wrongmail,1712345678, PENDING , HIGH RISK 
70374,john capital,HSBC,Savings,GBP,,,26-02-2026,,,Rejected, HIGH RISK 
,beta funds,,Savings,GBP,,,03/28/2024, CLIENT@BANK.COM ,01712345678,, follow up 
29795,  alpha holdings ,CHASE,Savings,EUR,,8.28,02/19/2025,,01712-345678,approved, good payer 
,beta funds,BOFA,loan,,$436361,8.73,02/11/2025, CLIENT@BANK.COM ,1712345678, PENDING ,
,beta funds,, investment ,,$442638,2.27,2025.04.02,wrongmail,1712345678,approved,
57941,john capital,CHASE, investment ,,,8.9,04/07/2024,client@mail.com,1712345678, PENDING , follow up 
,  alpha holdings ,CITI,loan,EUR,$125915,,2025.07.08, CLIENT@BANK.COM ,, PENDING , HIGH RISK 
23078,  alpha holdings ,CITI,CURRENT,BDT,$349555,10.89,2025.07.26, CLIENT@BANK.COM ,,approved, follow up 
,john capital,WELLS FARGO, investment ,BDT,,,2024.02.28,wrongmail,1712345678,approved,
,  alpha holdings ,BOFA,loan,USD,,,09-05-2024,wrongmail,,approved, good payer 
18534,john capital,HSBC,CURRENT,GBP,$423011,,2026.01.20,wrongmail,1712345678,approved, follow up 
,,WELLS FARGO, investment ,EUR,225038,5.32,16-11-2024,wrongmail,,approved, follow up 
,,BOFA, investment ,EUR,495874,8.44,05/20/2025,,01712-345678, PENDING , follow up 
,john capital,BOFA, investment ,BDT,207341,7.57,03/28/2026, CLIENT@BANK.COM ,01712345678,Rejected, HIGH RISK 
,john capital,CHASE,CURRENT,GBP,$307631,,2025.09.13,,1712345678,approved, follow up 
,  alpha holdings ,WELLS FARGO,Savings,EUR,44365,2.16,24-08-2024, CLIENT@BANK.COM ,01712345678,approved, follow up 
,john capital,HSBC,loan,,$166896,,,,01712-345678,approved, HIGH RISK 
66109,MARY INVEST,WELLS FARGO,loan,EUR,$384487,5.17,03/03/2024,client@mail.com,1712345678,approved, good payer 
,  alpha holdings ,HSBC,loan,GBP,,,,client@mail.com,,, HIGH RISK 
,john capital,CHASE,CURRENT,EUR,496260,,2024.10.10,,01712-345678,Rejected, follow up 
,,HSBC,CURRENT,EUR,397158,9.29,20-05-2024, CLIENT@BANK.COM ,,approved, follow up 
,beta funds,CHASE,loan,BDT,311849,,08-06-2025,,01712-345678,approved,
69647,john capital,,Savings,GBP,$82416,,2024.08.25,client@mail.com,1712345678,, HIGH RISK 
78606,john capital,HSBC, investment ,USD,,,10/16/2024, CLIENT@BANK.COM ,,, follow up 
,,CITI,CURRENT,EUR,,,,client@mail.com,01712-345678,Rejected, good payer 
17522,MARY INVEST,CHASE, investment ,,,,,client@mail.com,1712345678,Rejected, good payer 
,,,loan,,,6.07,08-03-2024, CLIENT@BANK.COM ,01712345678,, HIGH RISK 
,,CITI,Savings,EUR,303473,,2024.09.11,client@mail.com,1712345678,approved,
,  alpha holdings ,HSBC,loan,BDT,,4.8,11-12-2025,client@mail.com,,approved, good payer 
59741,MARY INVEST,WELLS FARGO,Savings,EUR,$411856,5.91,,,01712345678,, HIGH RISK 
,,BOFA,Savings,GBP,131906,5.83,08/26/2024,,01712345678,, HIGH RISK 
50725,,CITI,Savings,BDT,298894,4.61,2025.08.29,client@mail.com,1712345678,, HIGH RISK 
74670,john capital,WELLS FARGO,CURRENT,,,,06/23/2025,client@mail.com,01712345678, PENDING , HIGH RISK 
79378,john capital,CITI, investment ,EUR,,,,wrongmail,,, HIGH RISK 
,,WELLS FARGO, investment ,GBP,,,2026.02.02, CLIENT@BANK.COM ,01712-345678,Rejected,
67242,MARY INVEST,BOFA,loan,,$307345,9.45,06/18/2025,,,Rejected, follow up 
67561,john capital,BOFA, investment ,USD,,,2025.01.11,wrongmail,01712-345678, PENDING , HIGH RISK 
,,HSBC,CURRENT,EUR,,9.87,25-02-2026,wrongmail,,Rejected, good payer 
68220,beta funds,CITI,loan,USD,156271,1.84,,wrongmail,01712-345678, PENDING ,
,,BOFA, investment ,BDT,$382617,10.78,2024.09.06,client@mail.com,,Rejected,
,john capital,,Savings,USD,347127,,,wrongmail,01712-345678,approved, follow up 
59305,MARY INVEST,WELLS FARGO, investment ,BDT,449599,8.09,2024.02.07,wrongmail,01712-345678, PENDING ,
,MARY INVEST,BOFA, investment ,GBP,$346888,2.31,2024.05.02,,01712-345678,Rejected, follow up 
67086,beta funds,CITI, investment ,GBP,,,,,, PENDING ,
,MARY INVEST,WELLS FARGO,Savings,,175201,,08/28/2025,,,approved, HIGH RISK 
,john capital,CITI,CURRENT,EUR,,,2025.10.31, CLIENT@BANK.COM ,01712-345678, PENDING , follow up 
18762,MARY INVEST,CHASE,loan,GBP,,,12-11-2025, CLIENT@BANK.COM ,1712345678,Rejected, good payer 
,john capital,CITI,loan,GBP,,,2024.01.06,wrongmail,,approved, follow up 
,beta funds,HSBC, investment ,USD,$493294,4.14,, CLIENT@BANK.COM ,1712345678,Rejected,
78383,,CHASE,Savings,EUR,55411,2.43,11/20/2025, CLIENT@BANK.COM ,01712345678,, HIGH RISK 
32914,,,loan,,403096,,,,1712345678, PENDING , good payer 
,  alpha holdings ,,loan,EUR,$396775,9.8,20-12-2024,,01712345678,, HIGH RISK 
99560,MARY INVEST,CITI,Savings,GBP,,,10/24/2024, CLIENT@BANK.COM ,01712345678,approved, good payer 
,  alpha holdings ,BOFA,loan,,292552,,01/21/2024,wrongmail,1712345678,approved,
99043,  alpha holdings ,WELLS FARGO,Savings,BDT,370634,8.17,10/13/2024,client@mail.com,,, follow up 
63749,  alpha holdings ,BOFA, investment ,,406061,,,wrongmail,01712345678,Rejected, good payer 
,beta funds,HSBC,Savings,USD,191741,,,,01712-345678,, HIGH RISK 
,john capital,BOFA, investment ,,,10.96,08/19/2025,,01712345678,approved, good payer 
79361,,WELLS FARGO,loan,EUR,,,12-08-2024,,1712345678,approved, good payer 
98387,,WELLS FARGO,CURRENT,EUR,$261404,4.71,01-06-2024, CLIENT@BANK.COM ,,Rejected, follow up 
,,,CURRENT,USD,$62174,,18-10-2025,client@mail.com,01712345678,Rejected, follow up 
,MARY INVEST,WELLS FARGO,loan,BDT,,4.99,,client@mail.com,, PENDING , follow up 
61971,john capital,CHASE,Savings,BDT,$232103,6.22,2026.04.12,client@mail.com,,, HIGH RISK 
26941,,HSBC, investment ,EUR,,,13-06-2025,client@mail.com,01712-345678,Rejected,
,MARY INVEST,CITI,Savings,BDT,345992,,2025.09.25,wrongmail,1712345678, PENDING , HIGH RISK 
94684,beta funds,CHASE,Savings,,$464382,,02/03/2026,client@mail.com,,approved, good payer 
56077,MARY INVEST,WELLS FARGO,loan,USD,,,12/13/2024,client@mail.com,1712345678,approved, HIGH RISK 
,  alpha holdings ,BOFA,loan,USD,$187616,12.33,06/29/2025,wrongmail,, PENDING , follow up 
86315,  alpha holdings ,CHASE, investment ,GBP,,2.37,01-02-2026,wrongmail,01712-345678,,
25375,john capital,CITI,CURRENT,GBP,$31174,11.26,04/10/2024,wrongmail,01712-345678,approved,
69470,beta funds,CITI,loan,BDT,,,27-03-2026,,, PENDING , good payer 
,beta funds,WELLS FARGO,Savings,BDT,,,29-04-2026, CLIENT@BANK.COM ,01712-345678,approved, HIGH RISK 
37293,,CHASE,loan,BDT,184237,7.65,07/16/2024,,,, follow up 
,john capital,,Savings,EUR,$102571,,31-03-2026, CLIENT@BANK.COM ,, PENDING ,
13636,beta funds,WELLS FARGO,Savings,,,8.93,2024.05.29, CLIENT@BANK.COM ,1712345678,, good payer 
61895,beta funds,WELLS FARGO,Savings,EUR,$90633,,2024.08.10, CLIENT@BANK.COM ,01712-345678, PENDING ,
10148,beta funds,,Savings,GBP,,,12/09/2025,wrongmail,, PENDING , HIGH RISK 
96674,  alpha holdings ,HSBC,CURRENT,GBP,395710,,2024.01.09,,1712345678, PENDING ,
,beta funds,,CURRENT,USD,,2.12,,client@mail.com,01712345678, PENDING , HIGH RISK 
63564,MARY INVEST,HSBC,loan,GBP,197934,2.06,2026.04.15,client@mail.com,01712345678,, good payer 
,,CITI,CURRENT,EUR,72331,,05/02/2024,,1712345678, PENDING , good payer 
94517,beta funds,CITI,CURRENT,GBP,$7998,9.97,30-01-2026,client@mail.com,1712345678,,
,,HSBC,CURRENT,USD,454745,,2025.09.16,wrongmail,01712345678,Rejected, HIGH RISK 
,john capital,HSBC, investment ,BDT,,,04-04-2024, CLIENT@BANK.COM ,01712345678,Rejected, HIGH RISK 
,  alpha holdings ,WELLS FARGO,CURRENT,EUR,,,,,,approved,
33239,john capital,BOFA,loan,,,11.78,06/23/2024, CLIENT@BANK.COM ,01712-345678,Rejected, HIGH RISK 
,beta funds,BOFA,loan,BDT,$68053,9.22,,wrongmail,01712345678,, follow up 
,  alpha holdings ,CITI,loan,BDT,18261,,05-03-2024, CLIENT@BANK.COM ,,approved, HIGH RISK 
